id,rmp_id,university_id,university_name,name,url,reviews,would_take_again,level_of_difficulty,average_rating,average_sentiment,tags
1730,2217916,92,University of West Florida,"Reyes Duran, Hugo",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2217916&showMyProfs=true,5,100,3.2,5,0.59637851,"Group projects,Participation matters,Inspirational,Caring,Amazing lectures,Participation matters,Amazing lectures,Caring,Participation matters,Inspirational,GROUP PROJECTS,Amazing lectures,Caring,GROUP PROJECTS,Participation matters,Inspirational,GROUP PROJECTS,Inspirational,Caring,GROUP PROJECTS"
1844,2277992,103,University of North Texas--Dallas,"Ingram, William",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2277992&showMyProfs=true,7,100,2.3,5,0.51115626,"Clear grading criteria,Participation matters,Gives good feedback,Test heavy,EXTRA CREDIT,Gives good feedback,EXTRA CREDIT,Test heavy,Clear grading criteria,Clear grading criteria,TEST HEAVY,Amazing lectures,Would take again,Respected,Participation matters,Clear grading criteria,Gives good feedback,Participation matters,Clear grading criteria"
1905,2063616,109,University of Wisconsin--Stout,"Sobota, John",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2063616&showMyProfs=true,14,100,1.4,5,0.5973099,"Hilarious,Respected,Caring,Inspirational,Would take again,Inspirational,Hilarious,Caring,Gives good feedback,Respected,Hilarious,Gives good feedback,Respected,Caring,Respected,Inspirational,Hilarious,Gives good feedback,Respected,Hilarious,Respected,Amazing lectures,EXTRA CREDIT,Hilarious,Amazing lectures,Caring,Inspirational,Hilarious,Caring,Hilarious,Caring,Would take again,Respected,Inspirational,Hilarious"
2109,2182758,140,Metropolitan State University of Denver,"Drake III, James",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2182758&showMyProfs=true,9,100,2.8,5,0.6806589,"Hilarious,Caring,Respected,Inspirational,EXTRA CREDIT,Respected,Hilarious,Caring,Inspirational,Hilarious,Caring,Respected,Skip class? You won't pass.,Hilarious,Respected,Hilarious,Caring,Inspirational,Amazing lectures,Caring,Gives good feedback,ACCESSIBLE OUTSIDE CLASS,Hilarious,Gives good feedback,Respected,Inspirational,Hilarious,Caring,EXTRA CREDIT,Participation matters,Hilarious,EXTRA CREDIT"
2110,1753467,140,Metropolitan State University of Denver,"Vanucci, Cynthia",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1753467&showMyProfs=true,6,100,2.5,5,0.82742936,
2145,162074,142,Missouri State University,"Grand, Melanie",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=162074&showMyProfs=true,36,100,1.8,5,0.57432261,"Skip class? You won't pass.,Clear grading criteria,Respected,Gives good feedback,Hilarious,Skip class? You won't pass.,Clear grading criteria,GRADED BY FEW THINGS,Respected,Skip class? You won't pass.,Clear grading criteria,Gives good feedback,Clear grading criteria,Hilarious,Respected,ACCESSIBLE OUTSIDE CLASS,Clear grading criteria,Gives good feedback,Respected,Hilarious"
2150,2043509,142,Missouri State University,"Hiller, Jokima",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2043509&showMyProfs=true,7,100,1.6,5,0.5089979,"Hilarious,EXTRA CREDIT,Gives good feedback,Respected,Clear grading criteria,Gives good feedback,ACCESSIBLE OUTSIDE CLASS,Hilarious,Gives good feedback,Inspirational,EXTRA CREDIT,LOTS OF HOMEWORK,Hilarious,Clear grading criteria,Respected,Clear grading criteria,EXTRA CREDIT,Respected,Hilarious,EXTRA CREDIT"
2209,1021160,151,University of New Orleans,"Williams, Kim",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1021160&showMyProfs=true,29,100,1.3,5,0.67523588,"Would take again,Clear grading criteria,Hilarious,Caring,Respected,Inspirational,Clear grading criteria,Caring,Gives good feedback,Respected,Amazing lectures"
2249,2180137,157,Northwood University,"Hamilton, Nick",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2180137&showMyProfs=true,7,100,1.9,5,0.5794902,"Respected,Amazing lectures,Clear grading criteria,Gives good feedback,Hilarious,Graded by few things,Group projects,Clear grading criteria,Participation matters,Graded by few things,Amazing lectures,Gives good feedback,Respected,Clear grading criteria,Hilarious,Amazing lectures,Respected,Hilarious,Caring,Gives good feedback,Respected,Caring"
411,1655452,30,University of South Carolina,"Reynolds, Joel",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1655452&showMyProfs=true,5,,1.6,5,0.46795259,"Participation matters,Would take again,Hilarious"
533,1075281,38,University of Alabama,"Bolye, Kimberly",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1075281&showMyProfs=true,8,,1.1,5,0.97115172,
689,1576770,41,University of Central Florida,"Levonius, Don",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1576770&showMyProfs=true,6,,3.2,5,0.65138855,
945,304674,48,Florida International University,"Hansen, Bill",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=304674&showMyProfs=true,5,,1.8,5,0.58284659,"Inspirational,Hilarious,Respected"
1341,989914,64,University of Nevada--Las Vegas,"Grigaitis, Greg",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=989914&showMyProfs=true,5,,1,5,0.48203391,
1542,907392,76,California State Polytechnic University--Pomona,"Godfrey, Micheal D",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=907392&showMyProfs=true,5,,3,5,0.40614339,
1729,864307,92,University of West Florida,"Philipp, Steven",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=864307&showMyProfs=true,6,,1.3,5,0.53472664,
1775,792487,94,CUNY--New York City College of Technology,"Mercado, Dalila",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=792487&showMyProfs=true,9,,1.9,5,0.34994527,
1957,655142,115,Arkansas Tech University,"Moll, Ray",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=655142&showMyProfs=true,8,,1.5,5,0.73907813,
1751,2273999,94,CUNY--New York City College of Technology,"Stewart, Claire",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2273999&showMyProfs=true,23,86,1.5,4.9,0.51855691,"Amazing lectures,Participation matters,Clear grading criteria,Inspirational,Caring,Participation matters,Amazing lectures,Caring,Respected,Participation matters,Amazing lectures,Get ready to read,Clear grading criteria,Gives good feedback,Respected,Inspirational,Caring,Get ready to read,TEST HEAVY,Tests are tough,Amazing lectures,Caring,Inspirational,Clear grading criteria,Hilarious"
1531,973022,76,California State Polytechnic University--Pomona,"St. Hilaire, Don",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=973022&showMyProfs=true,11,88,2.9,4.9,0.46051213,"Respected,Inspirational,Caring,Accessible outside class,Test heavy,Respected,Inspirational,Graded by few things,Amazing lectures,Hilarious,Inspirational,Respected,Accessible outside class,Caring,Respected,Skip class? You won't pass.,Caring,Accessible outside class,Inspirational,Test heavy,Respected,ACCESSIBLE OUTSIDE CLASS,Caring,Gives good feedback,Respected,LOTS OF HOMEWORK,Respected,TEST HEAVY"
119,1854165,14,Florida State University,"Line, Nathan",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1854165&showMyProfs=true,111,99,2.4,4.9,0.56480537,"Respected,Amazing lectures,Gives good feedback,EXTRA CREDIT,Clear grading criteria,Gives good feedback,Respected,Amazing lectures,Respected,Accessible outside class,Caring,Respected,Accessible outside class,Participation matters,Gives good feedback,Respected,Caring,Respected,Accessible outside class,Hilarious,Participation matters,Skip class? You won't pass.,Amazing lectures,Gives good feedback,Respected,Inspirational,Gives good feedback,Accessible outside class,Group projects,Respected,Participation matters,Amazing lectures,Respected,Accessible outside class,Clear grading criteria,Group projects,Hilarious,Amazing lectures,Hilarious,Amazing lectures,EXTRA CREDIT,Hilarious,Amazing lectures,EXTRA CREDIT,Skip class? You won't pass.,Clear grading criteria,Hilarious,Lots of homework,Hilarious,Amazing lectures,Caring,Gives good feedback,Skip class? You won't pass.,Hilarious,Gives good feedback,Caring,So many papers,Gives good feedback,Skip class? You won't pass.,Hilarious,Gives good feedback,Respected,Clear grading criteria"
263,2281264,24,University of Delaware,"Ng, Steven",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=2281264&showMyProfs=true,17,100,1.9,4.9,0.55830271,"Gives good feedback,Caring,Respected,Skip class? You won't pass.,Participation matters,Gives good feedback,Respected,Inspirational,Gives good feedback,Clear grading criteria,Caring,Gives good feedback,Respected,Caring,Gives good feedback,Participation matters,Caring,Respected,Skip class? You won't pass.,Amazing lectures,Gives good feedback,Group projects,EXTRA CREDIT,Gives good feedback,Respected,Participation matters,Gives good feedback,Clear grading criteria,LECTURE HEAVY,Gives good feedback,Skip class? You won't pass.,Inspirational,Gives good feedback,Respected,Skip class? You won't pass.,Gives good feedback,Skip class? You won't pass.,GROUP PROJECTS,Gives good feedback,Respected,Caring,Inspirational,Caring,Would take again,Gives good feedback,EXTRA CREDIT,Would take again,Gives good feedback,Participation matters,Skip class? You won't pass.,Hilarious,Caring,EXTRA CREDIT"
393,1763734,30,University of South Carolina,"Kirkley, Darron",https://www.ratemyprofessors.com/ShowRatings.jsp?tid=1763734&showMyProfs=true,19,100,1.6,4.9,0.58750785,"Hilarious,Gives good feedback,Caring,Skip class? You won't pass.,Would take again,Accessible outside class,Amazing lectures,Caring,Gives good feedback,Accessible outside class,Skip class? You won't pass.,Skip class? You won't pass.,Hilarious,Caring,Gives good feedback,Group projects,Hilarious,Respected,Hilarious,Caring,Gives good feedback,ACCESSIBLE OUTSIDE CLASS,Amazing lectures,Gives good feedback,Skip class? You won't pass.,Inspirational"
